ID,item_cnt_month
0,0.47260767
1,0.12399651
2,0.82993734
3,0.17249556
4,0.12399651
5,0.48847005
6,1.0993636
7,0.1264424
8,1.2181572
9,0.12399651
10,2.893143
11,0.23992884
12,0.112315506
13,0.34312865
14,1.6941018
15,2.681338
16,0.12399651
17,0.11714229
18,1.4527067
19,0.10130894
20,0.6944907
21,0.12399651
22,0.8651067
23,0.7701441
24,1.5233849
25,0.12399651
26,0.12399651
27,0.47728977
28,0.84538245
29,3.3973591
30,0.37693903
31,0.12399651
32,0.41486824
33,0.6132101
34,0.11310181
35,0.117522396
36,0.12199105
37,0.4797692
38,0.23629749
39,0.121619046
40,0.646966
41,1.0394744
42,3.422569
43,3.4798632
44,0.40592417
45,0.12399651
46,0.8157612
47,0.15543959
48,0.24158376
49,0.94593
50,1.462421
51,0.23992884
52,0.6712886
53,0.17126612
54,6.0208616
55,2.8288019
56,2.6140463
57,2.314964
58,5.2844563
59,3.9318354
60,4.8852696
61,0.45164177
62,0.3567176
63,0.3798174
64,0.12399651
65,0.12399651
66,0.7787757
67,0.117692955
68,0.40592417
69,0.10673837
70,0.12399651
71,1.8498591
72,0.4984104
73,1.0674582
74,0.12399651
75,0.12399651
76,0.37114805
77,0.12399651
78,0.31267115
79,0.63464916
80,0.9181669
81,3.68134
82,0.80276966
83,0.21163014
84,0.92215705
85,1.1945952
86,0.59764206
87,0.10723591
88,3.441991
89,1.3507627
90,0.8090855
91,0.40590444
92,2.4564133
93,0.17249556
94,0.27592963
95,0.11243991
96,0.117692955
97,0.44481176
98,0.63473153
99,1.5658225
100,1.136931
101,0.72516394
102,0.2104401
103,0.40590444
104,0.10907132
105,0.12399651
106,0.12399651
107,0.7136694
108,0.113866046
109,0.12399651
110,0.21510175
111,0.12399651
112,0.12399651
113,0.12399651
114,0.27938667
115,0.27595377
116,0.12399651
117,0.12226625
118,10.261189
119,0.13206986
120,0.10425011
121,0.1084407
122,0.35905737
123,0.5001769
124,0.54236364
125,1.2240671
126,0.12399651
127,0.11306545
128,0.12399651
129,0.2399269
130,0.40590444
131,0.12399651
132,0.40590444
133,3.0817738
134,0.10765403
135,0.40590444
136,0.23992884
137,0.12399651
138,0.99070966
139,0.12399651
140,0.19888788
141,0.49806905
142,0.12837642
143,0.23992884
144,0.12399651
145,0.12399651
146,0.12399651
147,0.14787237
148,0.12399651
149,0.12399651
150,0.1139202
151,0.12399651
152,5.985255
153,0.28972572
154,0.12399651
155,0.17910154
156,0.20691451
157,0.11746834
158,0.17257467
159,0.3888712
160,0.12399651
161,0.23992884
162,0.12399651
163,0.42403919
164,0.3737901
165,0.12215142
166,0.5858587
167,0.11610918
168,0.12399651
169,0.11499205
170,0.23992884
171,0.5065539
172,0.37414908
173,1.3404816
174,1.6391437
175,2.8436873
176,1.2952535
177,0.12399651
178,0.5021106
179,0.11860131
180,1.0766532
181,0.42302996
182,0.12399651
183,0.11516039
184,0.23039086
185,0.12399651
186,0.11424005
187,0.15264615
188,0.12399651
189,0.12399651
190,0.12399651
191,0.6456033
192,0.646966
193,0.13077484
194,0.11746834
195,0.15866578
196,0.40590444
197,2.8511846
198,1.1564353
199,0.12399651
200,0.12399651
201,0.12399651
202,0.16679062
203,1.2744976
204,0.1127587
205,0.12399651
206,0.12399651
207,0.11780622
208,1.361642
209,0.533069
210,0.22827974
211,0.124692395
212,0.11214396
213,0.40590444
214,0.11803857
215,0.548172
216,0.44033957
217,0.17068103
218,2.1396275
219,0.3920563
220,0.40675515
221,0.12399651
222,0.12399651
223,0.8156663
224,2.7386973
225,0.38657323
226,0.4127805
227,0.12399651
228,0.22298737
229,0.12399651
230,0.12399651
231,0.49026144
232,0.12399651
233,0.36929673
234,0.12399651
235,0.14356346
236,0.17475484
237,0.46739462
238,0.40590444
239,0.33359602
240,0.8811592
241,0.10401197
242,0.12399651
243,0.12399651
244,0.12399651
245,0.22700521
246,1.7332672
247,0.4566083
248,0.44366917
249,0.11480641
250,0.7666452
251,0.17246553
252,0.24030542
253,1.0487078
254,0.34468478
255,5.985255
256,0.12399651
257,0.16193365
258,0.4695275
259,0.2179669
260,0.1070845
261,0.12420008
262,0.21801895
263,0.12399651
264,0.100237414
265,0.43608537
266,0.12399651
267,0.23992884
268,0.117522396
269,0.124350436
270,1.1123949
271,0.11942361
272,0.17337859
273,0.72516394
274,12.642053
275,0.12399651
276,0.40590444
277,1.406085
278,0.40251923
279,0.19015971
280,0.19534618
281,0.16233575
282,0.10739811
283,0.7641159
284,0.19534618
285,0.25659305
286,0.12399651
287,0.93538404
288,0.24699773
289,0.40590444
290,0.12399651
291,0.11728901
292,0.2617181
293,0.13177629
294,0.85355246
295,0.9049208
296,0.1645839
297,0.13986167
298,0.12399651
299,0.12399651
300,0.11917719
301,0.50719535
302,0.87301385
303,0.76415837
304,0.11746834
305,0.11780622
306,0.1938417
307,0.17270893
308,0.27395925
309,0.12399651
310,0.12399651
311,0.40030807
312,0.8925319
313,0.19015971
314,0.12399651
315,0.40590444
316,0.1337735
317,2.2573757
318,0.11229525
319,0.17270339
320,0.12399651
321,0.11097918
322,0.76243675
323,0.13490412
324,0.45328832
325,0.4735339
326,0.3854708
327,0.12399651
328,0.12399651
329,0.37566823
330,0.12399651
331,0.12399651
332,0.1665955
333,0.24188665
334,0.97822225
335,0.2827522
336,0.116537064
337,0.7966907
338,0.3966626
339,0.42860392
340,0.12289932
341,0.2219101
342,0.12399651
343,1.0621861
344,0.11146118
345,0.11871241
346,4.291589
347,3.5675008
348,0.11103143
349,0.27579677
350,0.12399651
351,0.5188328
352,0.12399651
353,0.13130525
354,0.12399651
355,0.12399651
356,0.40590444
357,0.85355246
358,0.5999299
359,0.40590444
360,0.17249556
361,3.273406
362,0.72516394
363,0.97822225
364,0.55087745
365,0.53709006
366,0.12399651
367,0.12399651
368,0.12399651
369,0.1810288
370,0.12399651
371,0.40590444
372,0.72516394
373,0.12399651
374,1.4688137
375,2.3844726
376,0.46604475
377,0.25659305
378,0.41367686
379,0.12399651
380,3.0032866
381,0.53709006
382,0.52793
383,0.12399651
384,1.7655681
385,0.3845135
386,0.5158348
387,0.12399651
388,0.16965398
389,0.10148279
390,0.12399651
391,0.14123577
392,0.13454932
393,0.4095142
394,0.12399651
395,0.12399651
396,2.0136235
397,0.32968402
398,0.12399651
399,0.43097147
400,0.12399651
401,0.43667457
402,1.6532984
403,2.5623028
404,0.37575
405,0.1214152
406,0.13968499
407,0.11309262
408,0.12177539
409,0.12399651
410,0.12399651
411,1.072049
412,0.107555956
413,0.19436221
414,0.12399651
415,4.2801647
416,0.12399651
417,0.12399651
418,0.12399651
419,0.12399651
420,0.34814185
421,1.4539193
422,0.40590444
423,0.98584867
424,0.12736222
425,0.15053383
426,0.12399651
427,0.12399651
428,1.047752
429,0.47021583
430,0.8485563
431,0.65692484
432,0.113854885
433,0.12399651
434,0.11172916
435,0.84558725
436,0.120772734
437,0.88019884
438,0.58997715
439,0.68263316
440,0.15138936
441,0.25099388
442,0.23992884
443,0.18648037
444,0.12736222
445,0.34777078
446,0.22764243
447,0.22306001
448,0.40590444
449,0.6294509
450,0.40590444
451,0.20329243
452,0.16306138
453,0.23370193
454,0.43365493
455,0.17791742
456,0.38885057
457,0.12399651
458,0.53878427
459,0.5421239
460,19.970247
461,1.2533568
462,0.40590444
463,0.6190233
464,0.49811164
465,0.12399651
466,0.12399651
467,0.12399651
468,0.12399651
469,0.38668704
470,0.40590444
471,0.31603256
472,0.17249556
473,0.12399651
474,1.0766532
475,1.4539193
476,0.12399651
477,0.10778583
478,0.1231913
479,0.12399651
480,0.12399651
481,0.12399651
482,0.12236434
483,0.40590444
484,0.9111326
485,0.41958702
486,0.49071527
487,0.11790776
488,0.12399651
489,2.4229727
490,0.17941242
491,0.12399651
492,0.40022233
493,0.12399651
494,0.38758266
495,0.10875587
496,0.14123577
497,0.12399651
498,5.673101
499,0.12399651
500,0.12399651
501,0.5413853
502,0.4131701
503,0.12399651
504,1.2246909
505,0.6964747
506,0.9885677
507,0.12269677
508,0.9173398
509,0.31013072
510,0.16183916
511,0.10018606
512,0.23101465
513,0.12399651
514,0.113854885
515,0.12399651
516,0.23992884
517,0.556546
518,0.92041516
519,0.49073428
520,0.40572095
521,0.49812397
522,0.6444899
523,1.3596972
524,0.17249556
525,0.53224736
526,0.20005934
527,0.1620144
528,0.11746834
529,0.109053686
530,0.12399651
531,0.573527
532,0.11212084
533,0.10363054
534,0.12399651
535,0.1048002
536,0.12399651
537,0.112323865
538,0.6905252
539,0.15059248
540,1.1907283
541,0.12399651
542,0.2804602
543,0.126571
544,0.117692955
545,0.12399651
546,0.38534528
547,0.1212538
548,0.11860131
549,0.12148693
550,0.12399651
551,0.26506156
552,0.57131755
553,0.123681515
554,0.12420008
555,0.3537351
556,0.122319266
557,0.19534618
558,0.12399651
559,0.13591698
560,0.27957648
561,0.6839839
562,0.10465348
563,0.12399651
564,0.12399651
565,0.11668621
566,0.16684146
567,0.12399651
568,0.18693073
569,0.10667376
570,0.12399651
571,0.12399651
572,0.85355246
573,0.2502572
574,0.12399651
575,0.12399651
576,0.24204198
577,0.12399651
578,0.12399651
579,0.38992095
580,0.12399651
581,0.12399651
582,0.12399651
583,0.12399651
584,0.85498965
585,0.107746154
586,0.12399651
587,0.53807366
588,2.5815685
589,0.15790227
590,0.5215447
591,0.3246541
592,2.360585
593,0.12041227
594,0.117187455
595,0.14221817
596,0.16132283
597,0.12399651
598,0.123818025
599,0.12399651
600,0.11024825
601,0.1558033
602,0.12399651
603,0.117522396
604,0.2321534
605,0.10154113
606,0.1153688
607,0.12399651
608,0.11129951
609,0.39634892
610,0.3613557
611,0.6559459
612,0.12399651
613,0.12399651
614,0.12399651
615,0.8963585
616,0.40590444
617,0.2776547
618,0.52793
619,0.14123577
620,0.3555454
621,0.12399651
622,0.12399651
623,0.6135777
624,0.40590444
625,0.40590444
626,0.85355246
627,0.12399651
628,0.114066236
629,0.17249556
630,0.22146797
631,0.12399651
632,0.17249556
633,0.12399651
634,0.52511823
635,0.30350178
636,0.12399651
637,0.22498405
638,0.25204796
639,0.122337446
640,0.5273191
641,0.77945304
642,0.13043869
643,0.12399651
644,0.11229525
645,0.12399651
646,0.85355246
647,0.14123577
648,0.12399651
649,0.17249556
650,0.23836033
651,0.9031999
652,0.12399651
653,0.16748151
654,0.14203608
655,0.40590444
656,0.297186
657,0.12399651
658,0.12399651
659,0.13877107
660,0.5403372
661,0.20522854
662,0.12399651
663,1.0745842
664,0.1098895
665,0.35634467
666,0.16354963
667,0.12399651
668,0.72516394
669,0.17249556
670,0.1206384
671,0.10162817
672,0.12092261
673,0.5464728
674,0.12399651
675,0.12399651
676,0.48122796
677,0.74874866
678,0.23992884
679,0.7881808
680,0.12399651
681,0.09890885
682,0.8561889
683,0.12399651
684,0.72516394
685,0.40590444
686,0.3537351
687,0.40590444
688,0.3208965
689,0.12399651
690,0.12399651
691,0.12036738
692,0.116024695
693,0.1032763
694,0.12399651
695,0.8658309
696,0.12399651
697,0.12399651
698,0.12399651
699,0.12399651
700,1.4539193
701,0.12399651
702,1.4698136
703,1.4698136
704,0.12399651
705,0.12399651
706,0.13022259
707,0.12399651
708,0.12504579
709,2.2234094
710,0.238758
711,0.3414406
712,0.12399651
713,0.437405
714,0.23992884
715,0.12399651
716,0.4673024
717,0.23629749
718,0.12399651
719,0.12399651
720,0.12399651
721,0.5742706
722,0.10997331
723,1.9059652
724,0.16656767
725,0.52793
726,0.52763534
727,0.72516394
728,0.12399651
729,1.0993636
730,0.1593913
731,0.11924745
732,0.8675337
733,0.12399651
734,0.72516394
735,0.23992884
736,0.40590444
737,0.69588625
738,0.52793
739,0.27515697
740,0.23992884
741,0.112341985
742,0.12399651
743,0.40590444
744,0.57535946
745,0.52793
746,0.3537351
747,0.46541426
748,0.58357847
749,0.12399651
750,0.36803737
751,0.13453005
752,0.3414406
753,0.11547969
754,1.6023527
755,0.4673024
756,0.12399651
757,0.4444925
758,0.11780622
759,0.11427002
760,0.80438423
761,0.2710557
762,0.12195168
763,1.8498591
764,0.3414406
765,0.14123577
766,0.23992884
767,0.36506552
768,0.6317861
769,0.337892
770,0.12399651
771,0.12399651
772,0.23992884
773,0.12399651
774,0.12399651
775,0.12399651
776,0.40590444
777,0.40590444
778,0.12399651
779,0.40590444
780,0.12399651
781,1.0766532
782,0.8962039
783,0.40590444
784,0.12399651
785,1.0766532
786,2.2885656
787,1.2118791
788,0.12399651
789,0.40590444
790,0.12399651
791,0.12399651
792,0.12399651
793,3.0817738
794,0.12399651
795,0.12399651
796,0.12399651
797,0.40590444
798,0.12399651
799,1.5159925
800,0.40590444
801,0.16233575
802,0.12399651
803,0.12399651
804,0.17177589
805,0.12399651
806,0.10760331
807,0.25208437
808,0.41404432
809,0.12399651
810,0.33542904
811,0.42631334
812,0.4009533
813,0.14123577
814,0.11297547
815,0.4306049
816,0.17479326
817,0.12399651
818,0.12399651
819,0.11378837
820,0.2132482
821,0.11378584
822,0.4405057
